Print stack
874698 277044 true
205495 957168 true
57990 489747 false
576876 444509 true
529813 145277 true
200894 757821 true
864893 712540 true
188926 606991 false
209078 988790 true
309557 961312 false
906607 194328 true
622530 958846 true
373203 998906 true
57502 360243 false
793858 788702 true
Print BST in inorder
57502 360243 false
57990 489747 false
188926 606991 false
200894 757821 true
205495 957168 true
209078 988790 true
309557 961312 false
373203 998906 true
529813 145277 true
576876 444509 true
622530 958846 true
793858 788702 true
864893 712540 true
874698 277044 true
906607 194328 true
Print BST in preorder
906607 194328 true
864893 712540 true
529813 145277 true
373203 998906 true
309557 961312 false
57502 360243 false
209078 988790 true
205495 957168 true
188926 606991 false
57990 489747 false
200894 757821 true
622530 958846 true
576876 444509 true
793858 788702 true
874698 277044 true
